part_place,part_name,house_type,house_big,floor,house_direct,house_sale_money,house_price,house_age,house_sale_time
罗湖 黄贝岭,新天地名居,1室1厅,39,低楼层,西南,195,50000,2005,2016.06
宝安 西乡,中熙香缤山,4室2厅,89,中楼层,南 北,517,58089,未知,2016.06
南山 深圳湾,曦湾天馥,4室2厅,86,高楼层,东南,1050,122093,未知,2016.06
龙岗 龙岗中心,万科翰邻城,4室2厅,89,中楼层,东,465,52247,2011,2016.06
福田 华强南,南华村,3室1厅,88,中楼层,西南,500,56818,1989,2016.06
宝安 新安,白金时代,2室1厅,43,高楼层,南 西南,227.5,52906,1993,2016.06
罗湖 百仕达,旭飞华达园,1室0厅,21,高楼层,南,100,47619,2001,2016.06
龙岗 布吉,德兴花园,2室2厅,77,低楼层,南,235,30519,1995,2016.06
宝安 桃源居,桃源居十四区,3室2厅,107,低楼层,南,362,33831,2004,2016.06
罗湖 百仕达,华达园公寓,1室0厅,28,高楼层,北,111.5,39821,2005,2016.06
罗湖 新秀,锦上花家园,2室1厅,48,低楼层,北,226,47083,2003,2016.06
龙岗 布吉,中翠花园,2室1厅,65,低楼层,西北,232.6,35784,2004,2016.06
福田 梅林,尚书苑,1室1厅,43,高楼层,西北,247.6,57581,2005,2016.06
宝安 西乡,中粮澜山,3室2厅,126,中楼层,东南,636,50476,2012,2016.06
福田 梅林,旭飞华安园,1室0厅,20,未知楼层,北,99,49500,2000,2016.06
福田 八卦岭,鹏益花园,2室1厅,61,低楼层,东,275,45081,1998,2016.06
福田 八卦岭,旭飞花园,1室0厅,27,高楼层,东北,130,48148,1999,2016.06
福田 华强北,玮鹏花园,1室1厅,47,中楼层,西,362,77021,2001,2016.06
龙岗 横岗,THETOWN乐城,1室0厅,35,中楼层,南,130.35,37242,2013,2016.06
福田 景田,景田西小区,3室2厅,87,中楼层,南,525,60344,2009,2016.06
龙岗 布吉,盈翠家园,2室2厅,67,中楼层,南,252,37611,2001,2016.06
宝安 西乡,鸿隆广场,2室1厅,48,中楼层,西北,241.2,50250,2005,2016.06
南山 南山中心,海岸明珠园,3室2厅,91,中楼层,东南,628,69010,2003,2016.06
罗湖 布心,雍翠华府,2室1厅,44,高楼层,北,234,53181,2004,2016.06
南山 南山中心,佳嘉豪苑,3室1厅,93,未知楼层,南,645,69354,未知,2016.06
龙岗 坂田,佳兆业城市广场一期,3室2厅,89,高楼层,南,415,46629,2015,2016.06
龙岗 龙岗中心,星河时代,3室2厅,89,高楼层,东南,450,50561,未知,2016.06
宝安 西乡,碧海富通城三期,1室0厅,41,低楼层,东北,190,46341,2007,2016.06
南山 红树湾,中信红树湾北区,1室1厅,55,中楼层,东南,448,81454,2008,2016.06
福田 园岭,园中花园,3室2厅,104,低楼层,东北,688.2,66173,1996,2016.06
龙岗 布吉,半山道1号礼宾府,3室1厅,87,高楼层,东南,373,42873,2013,2016.06
龙岗 布吉,中房怡芬花园,2室2厅,60,中楼层,东南,213.5,35583,1996,2016.06
罗湖 百仕达,百仕达东郡,2室1厅,76,高楼层,东,530,69736,2005,2016.06
龙岗 龙岗中心,中海康城国际,2室2厅,66,低楼层,西北,240,36363,2011,2016.06
罗湖 百仕达,百仕达东郡,2室2厅,80,低楼层,南,561.6,70200,2005,2016.06
龙岗 布吉,半山道1号礼宾府,3室1厅,135,高楼层,东,207,15333,2013,2016.06
罗湖 翠竹,合正荣悦,2室1厅,66,低楼层,西南,485,73484,未知,2016.06
宝安 西乡,玉湖湾,4室2厅,89,中楼层,南,633,71123,未知,2016.06
龙岗 坂田,和成世纪名园,3室2厅,84,高楼层,南,396,47142,2014,2016.06
罗湖 春风路,长丰苑,1室1厅,46,高楼层,东,145,31521,2000,2016.06
福田 华强北,城市绿洲花园,2室1厅,69,低楼层,北,441,63913,2002,2016.06
龙华新区 清湖,幸福城三期,3室2厅,90,高楼层,东南,413,45888,2015,2016.06
福田 景田,景蜜村,3室2厅,86,中楼层,南,508.5,59127,1997,2016.06
龙岗 龙岗中心,招商依山郡,8室4厅,125,低楼层,东南,468,37440,未知,2016.06
龙华新区 民治,星河盛世,1室1厅,47,高楼层,南,265,56382,未知,2016.06
龙岗 坂田,万科第五园三期,4室2厅,227,低楼层,南,1239,54581,2008,2016.06
龙华新区 深圳北站,绿景公馆1866北区,4室2厅,143,中楼层,南,425,29720,2013,2016.06
龙华新区 深圳北站,绿景公馆1866北区,4室2厅,143,中楼层,南,460,32167,2013,2016.06
龙岗 龙岗中心,振业峦山谷,3室2厅,72,中楼层,东南,213,29583,未知,2016.06
南山 大学城,学子荔园,1室0厅,29,中楼层,北,135,46551,2006,2016.06
罗湖 莲塘,桐景花园,2室2厅,80,中楼层,南,400,50000,2002,2016.06
南山 科技园,厚德品园,3室2厅,107,中楼层,南 北,865,80841,2008,2016.06
福田 皇岗,皇庭世纪,2室2厅,64,中楼层,北,403,62968,2004,2016.06
罗湖 笋岗,深城公寓,1室1厅,52,低楼层,南,205,39423,2000,2016.06
南山 前海,诺德假日花园,3室2厅,79,中楼层,东南,650,82278,2009,2016.06
龙华新区 清湖,劲力城市明珠,3室2厅,76,低楼层,东南,326,42894,2006,2016.06
龙华新区 深圳北站,阳光新境园,3室2厅,93,高楼层,南 北,463.5,49838,2006,2016.06
龙岗 布吉,万科公园里一期,4室2厅,163,中楼层,东,241,14785,2013,2016.06
罗湖 百仕达,百仕达花园二期,3室2厅,99,高楼层,南,570,57575,1999,2016.06
龙岗 龙岗中心,水蓝湾,4室2厅,126,中楼层,南,450,35714,2008,2016.06
南山 后海,南油B区,1室1厅,30,低楼层,南,146,48666,1993,2016.06
龙岗 布吉,万科公园里一期,4室2厅,163,中楼层,东,289,17730,2013,2016.06
龙岗 横岗,THETOWN乐城,1室0厅,34,高楼层,西北,122.5,36029,2013,2016.06
宝安 宝安中心,菁英趣庭,1室0厅,32,高楼层,西北,187.5,58593,2006,2016.06
福田 华强北,金茂礼都,1室0厅,36,低楼层,北,405,112500,2004,2016.06
龙华新区 民治,潜龙鑫茂花园A区,3室2厅,92,高楼层,北,460,50000,未知,2016.06
南山 南山中心,现代城华庭,3室2厅,126,高楼层,东南,580,46031,2004,2016.06
宝安 西乡,中熙香缇湾,3室2厅,82,低楼层,东南,507,61829,2009,2016.06
龙岗 坂田,万科第五园三期,2室2厅,84,低楼层,南,390,46428,2008,2016.06
南山 后海,信和自由广场,3室2厅,87,高楼层,南,541,62183,2006,2016.06
南山 后海,后海花园,3室1厅,143,高楼层,东南,550,38461,1996,2016.06
福田 华强南,嘉汇新城,2室1厅,59,低楼层,西南,308,52203,未知,2016.06
罗湖 春风路,长丰苑,1室1厅,47,高楼层,西南,160,34042,2000,2016.06
龙华新区 深圳北站,莱蒙水榭春天1到3期,1室1厅,55,低楼层,北 南,288.8,52509,2012,2016.06
龙岗 南联,万象天成,2室2厅,71,中楼层,南,233,32816,2009,2016.06
福田 梅林,颐林雅院,2室2厅,76,高楼层,南,360,47368,1998,2016.06
龙岗 布吉,中城康桥花园二期,3室2厅,89,中楼层,南,320,35955,2004,2016.06
福田 八卦岭,鹏盛年华,2室2厅,61,高楼层,南,320,52459,2002,2016.06
福田 石厦,宏轩大厦,1室1厅,45,低楼层,南,320,71111,2005,2016.06
罗湖 银湖,祥青苑,1室0厅,24,中楼层,南,83,34583,未知,2016.06
福田 华强北,群星广场,2室2厅,87,中楼层,南,600,68965,2001,2016.06
龙华新区 观澜,招商观园,3室2厅,89,中楼层,南,345,38764,未知,2016.06
龙岗 布吉,佳兆业可园六期,4室2厅,110,中楼层,北,473.8,43072,2009,2016.06
罗湖 春风路,阳光新干线家园,2室2厅,70,中楼层,南,378,54000,2005,2016.06
罗湖 地王,港岛银座,1室0厅,43,低楼层,东南,187,43488,2003,2016.06
盐田 沙头角,碧海蓝天名苑,4室2厅,135,低楼层,东南,535,39629,2002,2016.06
宝安 西乡,碧海富通城三期,2室2厅,50,中楼层,东北,327,65400,2007,2016.06
宝安 西乡,福中福花园一期,2室1厅,60,低楼层,东南,258,43000,2001,2016.06
宝安 西乡,福中福花园一期,2室1厅,61,中楼层,南,248,40655,2001,2016.06
龙华新区 深圳北站,金地梅陇镇一期,2室2厅,77,中楼层,南,376,48831,2007,2016.06
龙岗 布吉,百合星城一期,1室1厅,52,低楼层,南,185.5,35673,2003,2016.06
龙华新区 龙华中心,桦润馨居,2室2厅,75,中楼层,南,275,36666,2002,2016.06
福田 八卦岭,翠馨居花园,1室0厅,31,中楼层,南,167.5,54032,2002,2016.06
宝安 新安,新安湖花园,3室2厅,77,中楼层,东南,338,43896,1993,2016.06
南山 蛇口,春树里,2室1厅,67,低楼层,西北,457,68208,2005,2016.06
龙岗 龙岗中心,万科清林径,4室2厅,86,低楼层,东南,293,34069,2009,2016.06
龙岗 布吉,万科红四期,3室2厅,89,中楼层,西南,440,49438,未知,2016.06
龙华新区 龙华中心,桦润馨居,3室2厅,101,低楼层,东南,392,38811,2002,2016.06
龙华新区 清湖,劲力城市明珠,3室2厅,103,中楼层,南,433,42038,2006,2016.06
龙华新区 龙华中心,锦绣御园,4室2厅,201,低楼层,东南,835.8,41582,2014,2016.06
福田 华强南,桐林城市广场,1室1厅,32,高楼层,东南,203,63437,2012,2016.06
大鹏新区 大鹏半岛,PURE 33 璞岸,3室2厅,83,高楼层,南 北,236,28433,2014,2016.06
罗湖 春风路,联城美园,2室1厅,56,低楼层,西南,287,51250,2006,2016.06
南山 后海,瑞铧苑,2室1厅,57,中楼层,南,442.5,77631,2004,2016.06
福田 上下沙,花好园,1室1厅,40,中楼层,南,259,64750,2005,2016.06
龙岗 布吉,康达尔花园一期,2室2厅,73,中楼层,东南,267,36575,2001,2016.06
龙岗 布吉,南威中心,3室2厅,79,低楼层,南,216.8,27443,1992,2016.06
福田 园岭,园岭新村,3室2厅,95,中楼层,南 北,620,65263,1984,2016.06
龙华新区 深圳北站,世纪春城四期,3室2厅,113,中楼层,南,588,52035,2008,2016.06
宝安 西乡,鸿隆广场,2室2厅,48,中楼层,东南,243.5,50729,2005,2016.06
宝安 西乡,中信领航,3室2厅,82,高楼层,东南,426,51951,2012,2016.06
龙华新区 深圳北站,金地梅陇镇二期,2室2厅,77,低楼层,南,383,49740,2007,2016.06
福田 新洲,蜜园,2室1厅,60,中楼层,北,336,56000,2007,2016.06
龙华新区 民治,潜龙鑫茂花园A区,2室2厅,69,中楼层,南,340,49275,未知,2016.06
龙岗 龙岗中心,中海康城国际,3室2厅,88,高楼层,西南,338,38409,2010,2016.06
龙岗 布吉,百合星城一期,2室2厅,76,高楼层,南,263,34605,2003,2016.06
宝安 新安,湖景居,4室2厅,124,中楼层,南,563,45403,2007,2016.06
宝安 西乡,天骄世家,2室2厅,72,低楼层,西北,350,48611,未知,2016.06
宝安 西乡,招商果岭花园,2室2厅,61,低楼层,东北,329.2,53967,2013,2016.06
宝安 福永,翠湖花园,3室2厅,95,中楼层,南 北,275,28947,1997,2016.06
南山 红树湾,中信红树湾北区,4室2厅,155,低楼层,西南,1460,94193,2008,2016.06
龙岗 布吉,国展苑,2室1厅,56,高楼层,东南,189,33750,2003,2016.06
龙岗 布吉,龙珠花园(布吉),2室1厅,71,中楼层,北,226,31830,1999,2016.06
福田 竹子林,竹盛花园,3室2厅,89,中楼层,东南,570,64044,2007,2016.06
龙华新区 深圳北站,莱蒙水榭春天B区6期,3室2厅,89,中楼层,南,625,70224,2014,2016.06
宝安 宝安中心,西城上筑花园,3室2厅,101,中楼层,西南,680,67326,2005,2016.06
龙岗 布吉,佳兆业可园六期,2室2厅,78,中楼层,东北,305,39102,2005,2016.06
龙华新区 龙华中心,美丽家园,2室2厅,71,中楼层,南,270,38028,2001,2016.06
宝安 宝安中心,花样年花郡(宝安),1室1厅,36,中楼层,东北,238.8,66333,2010,2016.06
宝安 新安,宝民花园,2室1厅,49,高楼层,西南,188.8,38530,1991,2016.06
南山 深圳湾,太古城北,2室2厅,76,高楼层,东北,755,99342,2010,2016.06
南山 蛇口,招商桃花园,3室1厅,90,中楼层,南,715,79444,未知,2016.06
罗湖 万象城,城市天地广场,1室1厅,51,中楼层,西,227,44509,2005,2016.06
宝安 西乡,招商果岭花园,3室2厅,88,中楼层,西南,501.8,57022,2013,2016.06
福田 八卦岭,意馨居,1室0厅,31,低楼层,北,155,50000,未知,2016.06
龙岗 坂田,信义嘉御山,3室2厅,89,高楼层,东南,479,53820,未知,2016.06
龙华新区 龙华中心,金地上塘道,2室2厅,65,中楼层,南,360,55384,2010,2016.06
罗湖 莲塘,金色年华家园,2室2厅,69,高楼层,南,360,52173,未知,2016.06
龙岗 布吉,龙珠花园(布吉),2室1厅,60,中楼层,北,206,34333,1999,2016.06
宝安 宝安中心,泰华俊庭,2室2厅,59,中楼层,东北,306,51864,2005,2016.06
福田 新洲,嘉洲富苑,2室1厅,42,高楼层,东南,238,56666,2012,2016.06
南山 红树湾,中信红树湾南区,3室2厅,156,低楼层,西南,1425,91346,2005,2016.06
龙岗 龙岗中心,学府道花园,4室2厅,118,低楼层,南,255,21610,2011,2016.06
南山 大学城,学子荔园,1室0厅,31,低楼层,南,140,45161,2006,2016.06
龙岗 龙岗中心,学府道花园,4室2厅,118,低楼层,南,265,22457,2011,2016.06
福田 华强南,汇港名苑,3室2厅,78,高楼层,西北,403.98,51792,2002,2016.06
龙岗 布吉,英郡年华,3室2厅,97,中楼层,西南,433,44639,2008,2016.06
罗湖 东门,都心名苑,1室1厅,40,中楼层,南,200,50000,2006,2016.06
盐田 沙头角,鹏湾花园二村,3室2厅,88,中楼层,东南,336.6,38250,1995,2016.06
龙岗 布吉,佳兆业可园一期二期三期,3室2厅,98,高楼层,南,450,45918,2004,2016.06
福田 新洲,祥云天都世纪大厦,2室1厅,57,中楼层,西北,306,53684,未知,2016.06
南山 后海,新一代国际公寓,1室1厅,37,低楼层,南 北,222,60000,2004,2016.06
龙华新区 民治,潜龙鑫茂花园B区,2室2厅,61,中楼层,南,312,51147,2006,2016.06
龙华新区 龙华中心,金地上塘道,1室1厅,45,中楼层,北,229,50888,2010,2016.06
福田 八卦岭,翠馨居花园,1室1厅,43,低楼层,南,220,51162,2002,2016.06
南山 后海,云海天城,3室2厅,111,高楼层,南,580,52252,2003,2016.06
龙岗 坂田,信义嘉御山,3室2厅,86,高楼层,西南,538,62558,2013,2016.06
南山 蛇口,后海公馆,2室2厅,68,高楼层,东南,585,86029,2007,2016.06
南山 南头,马家龙方卉园,3室2厅,88,高楼层,南,368,41818,未知,2016.06
南山 科技园,珑御府,4室2厅,89,中楼层,南,850,95505,2014,2016.06
南山 华侨城,波托菲诺纯水岸七期和九期,1室0厅,56,中楼层,东南,485,86607,2008,2016.06
南山 科技园,珑御府,4室2厅,89,中楼层,南,850,95505,2014,2016.06
龙华新区 清湖,新阳丽舍,1室1厅,39,高楼层,东南,118,30256,2004,2016.06
福田 福田中心,彩福大厦,1室1厅,49,中楼层,西,218,44489,2001,2016.06
龙岗 布吉,怡康家园,2室1厅,42,中楼层,西南,185,44047,2005,2016.06
罗湖 东门,京基东方华都,1室1厅,40,中楼层,东,233,58250,2005,2016.06
福田 梅林,梅林一村一区,3室2厅,98,低楼层,北,547,55816,1999,2016.06
福田 梅林,海康大厦,1室1厅,32,高楼层,北,164,51250,2003,2016.06
龙岗 龙岗中心,碧湖玫瑰园,2室2厅,72,高楼层,北,248,34444,2000,2016.06
龙华新区 清湖,幸福城润园,4室2厅,150,高楼层,南,675,45000,未知,2016.06
南山 蛇口,石云村,3室1厅,76,中楼层,西南,347,45657,1989,2016.06
罗湖 布心,阳光明居,3室2厅,92,低楼层,南,462,50217,1999,2016.06
龙岗 布吉,龙珠花园(布吉),3室2厅,86,中楼层,西南,265,30813,1999,2016.06
罗湖 春风路,置地逸轩,1室1厅,30,中楼层,东南,165,55000,2004,2016.06
罗湖 罗湖口岸,德兴大厦,2室2厅,45,中楼层,南,157,34888,1984,2016.06
龙岗 龙岗中心,绿景大公馆,3室2厅,87,中楼层,南,489,56206,2010,2016.06
南山 华侨城,香山里,3室2厅,78,低楼层,南,497,63717,2010,2016.06
龙岗 布吉,阳光花园,2室1厅,59,中楼层,南,206,34915,2003,2016.06
龙岗 龙岗中心,奥林华府,2室2厅,76,低楼层,南,360,47368,2009,2016.06
罗湖 东门,东悦名轩,2室1厅,49,中楼层,东南,285,58163,未知,2016.06
南山 科技园,阳光海景豪苑,2室1厅,58,中楼层,北,320,55172,2002,2016.06
南山 白石洲,侨城豪苑,2室2厅,65,高楼层,北,365,56153,2003,2016.06
龙岗 横岗,信义锦绣花园,2室2厅,74,中楼层,东南,257.5,34797,2009,2016.06
龙岗 南联,东方明珠城,2室2厅,70,低楼层,西北,245.09,35012,2007,2016.06
福田 梅林,梅林一村十二区,3室2厅,90,高楼层,西南,549.4,61044,2000,2016.06
龙岗 布吉,华浩源A区,2室2厅,83,中楼层,南,270,32530,2004,2016.06
龙岗 布吉,中兆花园,3室2厅,63,中楼层,东南,224,35555,2001,2016.06
宝安 新安,都市翠海华苑,1室1厅,38,高楼层,南,255,67105,2004,2016.06
宝安 宝安中心,理想居,2室2厅,78,中楼层,东南,337,43205,2002,2016.06
南山 西丽,中爱花园,2室2厅,60,中楼层,东南 南,345,57500,2003,2016.06
福田 新洲,韵动家园,1室1厅,42,中楼层,西,242,57619,2005,2016.06
宝安 新安,黄金大厦,2室2厅,64,高楼层,东北,316,49375,2012,2016.06
龙岗 龙岗中心,爱地花园二期,4室2厅,115,高楼层,东南,378,32869,未知,2016.06
龙岗 布吉,中加名园,2室1厅,71,中楼层,北,269,37887,2005,2016.06
南山 西丽,桃源村三区,2室2厅,64,高楼层,南,308,48125,1997,2016.06
罗湖 东门,缤纷时代家园,1室0厅,29,中楼层,东南,180,62068,2003,2016.06
罗湖 黄贝岭,新天地名居,1室1厅,39,低楼层,西北,193,49487,2005,2016.06
罗湖 莲塘,合正锦园,2室2厅,78,低楼层,南,470,60256,2005,2016.06
福田 皇岗,皇御苑四期,2室1厅,52,高楼层,北,310,59615,2012,2016.06
罗湖 翠竹,怡泰大厦,1室1厅,28,高楼层,东,100,35714,未知,2016.06
龙岗 龙岗中心,公园大地,4室2厅,130,高楼层,南,570,43846,2008,2016.06
宝安 西乡,广兴源圣拿威,2室1厅,54,中楼层,东南,313.8,58111,2012,2016.06
南山 西丽,塘朗雅苑,4室2厅,105,中楼层,南 北,641,61047,2009,2016.06
龙岗 龙岗中心,风临域,4室2厅,113,低楼层,东南,400,35398,2008,2016.06
宝安 宝安中心,富通好旺角,3室2厅,89,低楼层,南,523,58764,2004,2016.06
宝安 桃源居,桃源居五区,3室2厅,76,高楼层,南,380,50000,2001,2016.06
南山 蛇口,龙瑞佳园,2室2厅,75,中楼层,西南,342,45600,2015,2016.06
龙岗 龙岗中心,仁恒峦山美地,3室2厅,76,低楼层,南,283.8,37342,2012,2016.06
南山 科技园,泰阳硅谷公寓,1室0厅,28,高楼层,南,195,69642,2007,2016.06
龙华新区 龙华中心,龙泉花园(龙华),3室2厅,80,高楼层,南,265,33125,1994,2016.06
龙岗 布吉,康达尔花园五期蝴蝶堡,2室2厅,65,低楼层,东北,281,43230,2005,2016.06
罗湖 清水河,龙园山庄,1室0厅,33,高楼层,北,128,38787,2006,2016.06
宝安 西乡,75区商住楼,2室2厅,73,高楼层,东南,234,32054,2000,2016.06
盐田 梅沙,云顶天海,2室2厅,82,高楼层,西北,278,33902,2006,2016.06
宝安 宝安中心,菁英趣庭,2室2厅,75,中楼层,西南,464,61866,2006,2016.06
龙岗 布吉,金湖星苑,2室1厅,70,中楼层,南,161.5,23071,2003,2016.06
龙华新区 龙华中心,华业玫瑰四季馨园一期,3室2厅,88,高楼层,东,522,59318,2015,2016.06
福田 皇岗,皇御苑二期,3室2厅,113,低楼层,南,638,56460,2003,2016.06
龙岗 布吉,帝景峰,3室2厅,68,高楼层,北,230,33823,2002,2016.06
龙岗 南联,东方瑞景苑,1室0厅,32,中楼层,西南,97.5,30468,2011,2016.06
罗湖 地王,星桂园,1室1厅,38,高楼层,西 北,220,57894,2004,2016.06
龙岗 南联,万象天成,2室2厅,71,低楼层,南,225,31690,2009,2016.06
龙岗 龙岗中心,朝阳里,2室2厅,53,高楼层,北,253,47735,2011,2016.06
福田 华强北,群星广场,3室2厅,108,低楼层,东南,750,69444,2001,2016.06
龙华新区 深圳北站,莱蒙水榭春天1到3期,4室2厅,143,低楼层,南,500,34965,2012,2016.06
龙华新区 深圳北站,金地梅陇镇四期,2室1厅,48,中楼层,南,230,47916,2003,2016.06
罗湖 东门,华隆园,1室0厅,40,高楼层,南,146,36500,未知,2016.06
宝安 西乡,中信领航,4室2厅,89,中楼层,东北,479,53820,2012,2016.06
龙岗 布吉,国展苑,2室1厅,51,中楼层,东北,170,33333,2002,2016.06
福田 福田保税区,福源花园三期,3室2厅,126,高楼层,东南,680,53968,1998,2016.06
南山 西丽,桃源村二区,3室2厅,93,低楼层,北,435,46774,2000,2016.06
罗湖 春风路,联城美园,1室1厅,39,高楼层,南,190,48717,2006,2016.06
龙华新区 龙华中心,金玲花园,2室2厅,62,高楼层,西南,208,33548,1998,2016.06
龙岗 横岗,锦冠华城,3室2厅,97,低楼层,南,285,29381,2003,2016.06
宝安 西乡,鸿隆广场,2室1厅,48,中楼层,西北,226.5,47187,2005,2016.06
龙岗 坂田,信义嘉御山,2室2厅,72,中楼层,西北,366,50833,2013,2016.06
罗湖 百仕达,华达园公寓,1室0厅,28,中楼层,东,105,37500,2005,2016.06
龙岗 布吉,阳光花园,1室1厅,47,中楼层,北,168.8,35914,2003,2016.06
龙岗 龙岗中心,万科清林径,3室2厅,79,中楼层,北,248,31392,2012,2016.06
龙华新区 深圳北站,世纪春城一期,3室2厅,112,中楼层,南 北,491,43839,2004,2016.06
龙岗 龙岗中心,爱地花园二期,3室2厅,112,低楼层,南,338,30178,未知,2016.06
罗湖 清水河,路桥大厦,2室1厅,43,中楼层,东南,208.7,48534,2001,2016.06
福田 八卦岭,城市主场,2室1厅,45,中楼层,西南,263.5,58555,2005,2016.06
龙岗 坂田,万科第五园二期,2室2厅,76,中楼层,北,335,44078,2006,2016.06
龙岗 南联,东方瑞景苑,1室0厅,32,高楼层,南,88,27500,2011,2016.06
龙岗 布吉,中兆花园,3室1厅,68,低楼层,东北,242.8,35705,2001,2016.06
南山 南头,南海明珠,4室2厅,146,低楼层,南,588,40273,1996,2016.06
南山 西丽,桃源村三期,3室2厅,81,高楼层,北,418,51604,2008,2016.06
龙华新区 民治,碧水龙庭,2室2厅,74,中楼层,南,319,43108,2007,2016.06
罗湖 百仕达,华达园公寓,1室0厅,28,高楼层,西,108,38571,2005,2016.06
盐田 沙头角,东部山海家园,5室2厅,127,低楼层,南,590,46456,2008,2016.06
福田 梅林,迷你新居福田,2室1厅,35,低楼层,东北,151.5,43285,2008,2016.06
龙岗 龙岗中心,风临域,3室2厅,79,低楼层,东南,303,38354,2008,2016.06
宝安 桃源居,桃源盛景园十六区,3室2厅,109,高楼层,南,526.8,48330,2007,2016.06
福田 皇岗,皇庭世纪,2室2厅,65,中楼层,东北,438,67384,2004,2016.06
龙岗 横岗,水晶之城,2室1厅,35,中楼层,北,150,42857,2002,2016.06
罗湖 布心,颖隆大厦,1室1厅,32,高楼层,东南 西北,100,31250,未知,2016.06
宝安 宝安中心,登科花园,2室2厅,56,高楼层,西南,239.5,42767,2001,2016.06
宝安 西乡,天骄世家,2室2厅,77,中楼层,东南,364.6,47350,未知,2016.06
罗湖 清水河,金祥都市花园,2室1厅,50,低楼层,北,185,37000,1998,2016.06
龙华新区 深圳北站,金地梅陇镇一期,2室2厅,76,中楼层,南,400,52631,2007,2016.06
福田 石厦,缔馨园,1室0厅,29,中楼层,西,237.5,81896,1997,2016.06
罗湖 黄贝岭,金城华庭,3室1厅,77,高楼层,东,308,40000,未知,2016.06
龙岗 龙岗中心,中海塞纳时光,2室2厅,76,高楼层,东南,280,36842,2011,2016.06
龙华新区 深圳北站,莱蒙水榭春天5期,3室2厅,89,中楼层,南,625,70224,2012,2016.06
宝安 宝安中心,花样年花乡,1室0厅,28,高楼层,西北,160,57142,2011,2016.06
罗湖 东门,缤纷时代家园,3室1厅,69,低楼层,东南,436,63188,2003,2016.06
罗湖 笋岗,华商时代公寓,1室0厅,23,高楼层,东,78,33913,2008,2016.06
盐田 沙头角,东部翠海轩,1室1厅,42,中楼层,东南,172,40952,2007,2016.06
福田 皇岗,皇庭世纪,2室2厅,64,中楼层,西北,412,64375,2004,2016.06
福田 华强南,南光捷佳大厦,2室1厅,58,中楼层,东南,242,41724,2002,2016.06
龙岗 南联,锦城星苑,2室1厅,56,中楼层,北,146,26071,2006,2016.06
福田 福田中心,彩天名苑,1室0厅,36,低楼层,西北,174,48333,2001,2016.06
龙岗 南联,锦城星苑,3室2厅,79,低楼层,南,199,25189,2006,2016.06
南山 蛇口,翠薇园,3室2厅,80,低楼层,南 北,490,61250,1991,2016.06
龙岗 龙岗中心,新亚洲花园,2室2厅,98,低楼层,东南 南,322,32857,2001,2016.06
南山 蛇口,半山海景兰溪谷一期,1室2厅,133,低楼层,南,1050,78947,2004,2016.06
南山 蛇口,半山海景兰溪谷一期,5室0厅,133,低楼层,南 北,1050,78947,2004,2016.06
福田 皇岗,嘉福花园,2室2厅,58,中楼层,西南,300,51724,2001,2016.06
罗湖 罗湖口岸,港逸豪庭,2室1厅,89,低楼层,东 北,348,39101,2000,2016.06
